trial,scene_seed,stage_max,success_at_end,physics_steps,llm_calls,termination,blind,second_review
trial-01,2000,0,0.0,768,18,give_up,True,False
trial-02,2001,0,0.0,594,20,give_up,True,False
trial-03,2002,3,0.0,548,20,done,True,True
trial-04,2003,0,0.0,144,16,give_up,True,False
trial-05,2004,0,0.0,301,19,give_up,True,False
trial-06,2005,0,0.0,652,20,give_up,True,False
trial-07,2006,2,0.0,900,20,max_steps,True,False
trial-08,2007,2,0.0,812,20,give_up,True,False
trial-09,2008,1,0.0,803,18,give_up,True,False
trial-10,2009,0,0.0,561,20,done,True,False
trial-11,2010,1,0.0,808,20,give_up,True,False
trial-12,2011,0,0.0,59,12,give_up,True,False
trial-13,2012,0,0.0,900,16,max_steps,True,False
trial-14,2013,0,0.0,840,17,done,True,False
trial-15,2014,1,0.0,900,17,max_steps,True,False
trial-16,2015,0,0.0,460,19,give_up,True,False
trial-17,2016,1,0.0,620,19,done,True,False
trial-18,2017,0,0.0,843,19,give_up,True,False
trial-19,2018,1,0.0,698,20,done,True,False
trial-20,2019,1,0.0,250,20,give_up,True,False
