trial,scene_seed,attempt_path,env_success,policy_decisions,physics_steps,sim_seconds,runner_wall_seconds,decision_wait_seconds,other_runner_seconds,wait_pct,mean_wait_seconds,max_wait_seconds,first_request_unix,last_response_unix,session_token_events,input_tokens,cached_input_tokens,noncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,provider_cost_usd
1,2000,trial-01,1.0,10,429,21.45,271.6293511390686,256.46233010292053,15.167021036148071,94.4162805040966,25.646233010292054,53.708558797836304,1789443461.958265,1789443730.791821,22,1183063,1127168,55895,4268,782,1187331,
2,2001,trial-02-attempt-02,1.0,11,431,21.55,369.90322279930115,354.4795341491699,15.423688650131226,95.83034488496477,32.225412195379086,76.49006700515747,1789461399.743464,1789461765.601131,24,1079608,1041664,37944,5148,909,1084756,
3,2002,trial-03,1.0,13,447,22.35,353.1311137676239,337.925922870636,15.205190896987915,95.69417978077298,25.99430175927969,59.36084008216858,1789461811.555125,1789462160.688043,28,1360883,1327232,33651,5362,607,1366245,
4,2003,trial-04,1.0,14,421,21.05,411.7415599822998,388.1691117286682,23.572448253631592,94.27494075297015,27.726365123476302,60.63300085067749,1789479574.928362,1789479981.671836,30,2037392,1932288,105104,5372,541,2042764,
5,2004,trial-05,1.0,13,433,21.65,348.6132302284241,322.3346450328827,26.278585195541382,92.46196560631887,24.79497269483713,52.27163076400757,1789480011.642517,1789480355.52848,28,1797976,1716224,81752,5281,771,1803257,
