time_s,unit,isaac_d20_requested_right_elbow_pitch_joint,isaac_d20_effective_right_elbow_pitch_joint,mujoco_d20_requested_right_elbow_pitch_joint,mujoco_d20_effective_right_elbow_pitch_joint,isaac_d20_requested_right_hip_pitch_joint,isaac_d20_effective_right_hip_pitch_joint,mujoco_d20_requested_right_hip_pitch_joint,mujoco_d20_effective_right_hip_pitch_joint,isaac_d20_requested_waist_yaw_joint,isaac_d20_effective_waist_yaw_joint,mujoco_d20_requested_waist_yaw_joint,mujoco_d20_effective_waist_yaw_joint
0.78,rad,0.048479,0.031825,0.012710,0.001411,0.372514,0.373297,0.357668,0.336453,-0.025632,-0.023187,-0.036227,-0.037776
0.80,rad,0.048403,0.048479,0.009038,0.012710,0.380773,0.372514,0.385431,0.357668,-0.027630,-0.025632,-0.032888,-0.036227
0.82,rad,0.046177,0.048403,0.007186,0.009038,0.387935,0.380773,0.403446,0.385431,-0.029544,-0.027630,-0.030371,-0.032888
0.84,rad,0.046389,0.046177,0.000393,0.007186,0.392368,0.387935,0.408561,0.403446,-0.030662,-0.029544,-0.030402,-0.030371
0.86,rad,0.044516,0.046389,-0.013067,0.000393,0.394806,0.392368,0.408779,0.408561,-0.031571,-0.030662,-0.032325,-0.030402
0.88,rad,0.039218,0.044516,-0.033038,-0.013067,0.388783,0.394806,0.411780,0.408779,-0.033994,-0.031571,-0.036026,-0.032325
0.90,rad,0.037991,0.039218,-0.059119,-0.033038,0.389842,0.388783,0.418811,0.411780,-0.036405,-0.033994,-0.038738,-0.036026
0.92,rad,0.019962,0.037991,-0.078156,-0.059119,0.396836,0.389842,0.424700,0.418811,-0.035469,-0.036405,-0.038872,-0.038738
0.94,rad,0.006694,0.019962,-0.092297,-0.078156,0.406901,0.396836,0.428144,0.424700,-0.034006,-0.035469,-0.038753,-0.038872
0.96,rad,-0.007134,0.006694,-0.087771,-0.092297,0.419403,0.406901,0.432821,0.428144,-0.032178,-0.034006,-0.039952,-0.038753
0.98,rad,-0.007242,-0.007134,-0.079084,-0.087771,0.429683,0.419403,0.437207,0.432821,-0.030399,-0.032178,-0.040326,-0.039952
1.00,rad,-0.006415,-0.007242,-0.063446,-0.079084,0.434713,0.429683,0.439997,0.437207,-0.029011,-0.030399,-0.038954,-0.040326
1.02,rad,-0.001077,-0.006415,-0.046685,-0.063446,0.431656,0.434713,0.439596,0.439997,-0.028473,-0.029011,-0.036080,-0.038954
1.04,rad,0.010247,-0.001077,-0.033000,-0.046685,0.420300,0.431656,0.430883,0.439596,-0.028773,-0.028473,-0.032372,-0.036080
1.06,rad,0.022599,0.010247,-0.018633,-0.033000,0.411430,0.420300,0.405837,0.430883,-0.029648,-0.028773,-0.029153,-0.032372
1.08,rad,0.028668,0.022599,-0.000566,-0.018633,0.405601,0.411430,0.386320,0.405837,-0.030657,-0.029648,-0.027506,-0.029153
1.10,rad,0.039871,0.028668,0.013485,-0.000566,0.407275,0.405601,0.374901,0.386320,-0.032035,-0.030657,-0.026210,-0.027506
1.12,rad,0.049489,0.039871,0.024999,0.013485,0.410063,0.407275,0.361147,0.374901,-0.033791,-0.032035,-0.026150,-0.026210
1.14,rad,0.050824,0.049489,0.027311,0.024999,0.413195,0.410063,0.343995,0.361147,-0.035701,-0.033791,-0.027257,-0.026150
1.16,rad,0.051115,0.050824,0.018703,0.027311,0.412236,0.413195,0.338951,0.343995,-0.038128,-0.035701,-0.027896,-0.027257
1.18,rad,0.049651,0.051115,0.006085,0.018703,0.410926,0.412236,0.344186,0.338951,-0.040197,-0.038128,-0.027990,-0.027896
1.20,rad,0.045287,0.049651,-0.004774,0.006085,0.410507,0.410926,0.364226,0.344186,-0.041352,-0.040197,-0.027034,-0.027990
1.22,rad,0.037582,0.045287,-0.012659,-0.004774,0.415396,0.410507,0.406191,0.364226,-0.041571,-0.041352,-0.024409,-0.027034
1.24,rad,0.025749,0.037582,-0.031407,-0.012659,0.423061,0.415396,0.450606,0.406191,-0.040701,-0.041571,-0.019377,-0.024409
1.26,rad,0.015145,0.025749,-0.057461,-0.031407,0.431802,0.423061,0.470328,0.450606,-0.039489,-0.040701,-0.015315,-0.019377
1.28,rad,0.007884,0.015145,-0.087931,-0.057461,0.439611,0.431802,0.479654,0.470328,-0.038222,-0.039489,-0.014512,-0.015315
1.30,rad,0.008142,0.007884,-0.111326,-0.087931,0.445085,0.439611,0.482258,0.479654,-0.037279,-0.038222,-0.016723,-0.014512
1.32,rad,0.011764,0.008142,-0.118356,-0.111326,0.448327,0.445085,0.463148,0.482258,-0.037014,-0.037279,-0.022888,-0.016723
1.34,rad,0.015521,0.011764,-0.106244,-0.118356,0.449233,0.448327,0.444059,0.463148,-0.037494,-0.037014,-0.028922,-0.022888
1.36,rad,0.019034,0.015521,-0.087842,-0.106244,0.449935,0.449233,0.441250,0.444059,-0.038366,-0.037494,-0.031951,-0.028922
1.38,rad,0.022404,0.019034,-0.061154,-0.087842,0.451177,0.449935,0.431593,0.441250,-0.039232,-0.038366,-0.032972,-0.031951
1.40,rad,0.024626,0.022404,-0.035071,-0.061154,0.452886,0.451177,0.426736,0.431593,-0.039897,-0.039232,-0.033623,-0.032972
1.42,rad,0.025744,0.024626,-0.023195,-0.035071,0.454267,0.452886,0.438195,0.426736,-0.040458,-0.039897,-0.034203,-0.033623
1.44,rad,0.026133,0.025744,-0.022983,-0.023195,0.455468,0.454267,0.453316,0.438195,-0.040957,-0.040458,-0.035105,-0.034203
1.46,rad,0.026095,0.026133,-0.018148,-0.022983,0.456586,0.455468,0.462000,0.453316,-0.041353,-0.040957,-0.037272,-0.035105
1.48,rad,0.025719,0.026095,-0.023832,-0.018148,0.457622,0.456586,0.468521,0.462000,-0.041579,-0.041353,-0.038903,-0.037272
1.50,rad,0.024908,0.025719,-0.034426,-0.023832,0.458482,0.457622,0.470100,0.468521,-0.041663,-0.041579,-0.039893,-0.038903
1.52,rad,0.023724,0.024908,-0.040501,-0.034426,0.459334,0.458482,0.469364,0.470100,-0.041614,-0.041663,-0.040268,-0.039893
1.54,rad,0.022625,0.023724,-0.043136,-0.040501,0.460211,0.459334,0.471094,0.469364,-0.041462,-0.041614,-0.039860,-0.040268
1.56,rad,0.022028,0.022625,-0.043806,-0.043136,0.461348,0.460211,0.474441,0.471094,-0.041236,-0.041462,-0.038698,-0.039860
1.58,rad,0.021769,0.022028,-0.042652,-0.043806,0.462538,0.461348,0.476561,0.474441,-0.040982,-0.041236,-0.037142,-0.038698
1.60,rad,0.021413,0.021769,-0.042874,-0.042652,0.463608,0.462538,0.480894,0.476561,-0.040757,-0.040982,-0.035352,-0.037142
1.62,rad,0.020699,0.021413,-0.047699,-0.042874,0.464360,0.463608,0.485877,0.480894,-0.040534,-0.040757,-0.033338,-0.035352
1.64,rad,0.019971,0.020699,-0.050634,-0.047699,0.464562,0.464360,0.490044,0.485877,-0.040287,-0.040534,-0.031832,-0.033338
1.66,rad,0.019572,0.019971,-0.051752,-0.050634,0.464060,0.464562,0.493685,0.490044,-0.040002,-0.040287,-0.030849,-0.031832
1.68,rad,0.019298,0.019572,-0.051136,-0.051752,0.463133,0.464060,0.497264,0.493685,-0.039684,-0.040002,-0.030385,-0.030849
1.70,rad,0.018389,0.019298,-0.053409,-0.051136,0.461836,0.463133,0.499753,0.497264,-0.039383,-0.039684,-0.030197,-0.030385
1.72,rad,0.017235,0.018389,-0.057545,-0.053409,0.460456,0.461836,0.502076,0.499753,-0.039156,-0.039383,-0.029933,-0.030197
1.74,rad,0.016199,0.017235,-0.060993,-0.057545,0.459190,0.460456,0.505757,0.502076,-0.039004,-0.039156,-0.029588,-0.029933
1.76,rad,0.014900,0.016199,-0.062826,-0.060993,0.458490,0.459190,0.509061,0.505757,-0.038920,-0.039004,-0.029361,-0.029588
1.78,rad,0.013573,0.014900,-0.065332,-0.062826,0.458009,0.458490,0.513429,0.509061,-0.038917,-0.038920,-0.029185,-0.029361
1.80,rad,0.012337,0.013573,-0.067635,-0.065332,0.457658,0.458009,0.518067,0.513429,-0.038907,-0.038917,-0.028945,-0.029185
1.82,rad,0.011268,0.012337,-0.066355,-0.067635,0.457212,0.457658,0.521531,0.518067,-0.038848,-0.038907,-0.028735,-0.028945
1.84,rad,0.010711,0.011268,-0.064128,-0.066355,0.456379,0.457212,0.523120,0.521531,-0.038805,-0.038848,-0.028671,-0.028735
1.86,rad,0.010703,0.010711,-0.063193,-0.064128,0.454884,0.456379,0.525410,0.523120,-0.038802,-0.038805,-0.028451,-0.028671
1.88,rad,0.010892,0.010703,-0.061844,-0.063193,0.452820,0.454884,0.527817,0.525410,-0.038841,-0.038802,-0.028345,-0.028451
1.90,rad,0.010866,0.010892,-0.058836,-0.061844,0.450424,0.452820,0.528380,0.527817,-0.038949,-0.038841,-0.028424,-0.028345
1.92,rad,0.011201,0.010866,-0.057713,-0.058836,0.447798,0.450424,0.528256,0.528380,-0.039122,-0.038949,-0.028381,-0.028424
1.94,rad,0.012329,0.011201,-0.055437,-0.057713,0.445328,0.447798,0.526928,0.528256,-0.039299,-0.039122,-0.028205,-0.028381
1.96,rad,0.013836,0.012329,-0.054588,-0.055437,0.443337,0.445328,0.524524,0.526928,-0.039422,-0.039299,-0.027847,-0.028205
1.98,rad,0.014847,0.013836,-0.051711,-0.054588,0.442020,0.443337,0.522191,0.524524,-0.039500,-0.039422,-0.027515,-0.027847
2.00,rad,0.014536,0.014847,-0.052342,-0.051711,0.441630,0.442020,0.520471,0.522191,-0.039556,-0.039500,-0.027158,-0.027515
2.02,rad,0.013155,0.014536,-0.052084,-0.052342,0.441812,0.441630,0.519919,0.520471,-0.039657,-0.039556,-0.026908,-0.027158
2.04,rad,0.011782,0.013155,-0.053231,-0.052084,0.441897,0.441812,0.517559,0.519919,-0.039795,-0.039657,-0.026595,-0.026908
2.06,rad,0.010565,0.011782,-0.054074,-0.053231,0.441466,0.441897,0.514621,0.517559,-0.039954,-0.039795,-0.026292,-0.026595
2.08,rad,0.009564,0.010565,-0.056399,-0.054074,0.440687,0.441466,0.512260,0.514621,-0.040116,-0.039954,-0.025831,-0.026292
2.10,rad,0.009486,0.009564,-0.058781,-0.056399,0.439828,0.440687,0.511644,0.512260,-0.040310,-0.040116,-0.025462,-0.025831
2.12,rad,0.010281,0.009486,-0.059382,-0.058781,0.439156,0.439828,0.507916,0.511644,-0.040585,-0.040310,-0.025191,-0.025462
2.14,rad,0.010615,0.010281,-0.060475,-0.059382,0.438931,0.439156,0.503184,0.507916,-0.040944,-0.040585,-0.025221,-0.025191
2.16,rad,0.010437,0.010615,-0.062744,-0.060475,0.438982,0.438931,0.500330,0.503184,-0.041316,-0.040944,-0.025067,-0.025221
2.18,rad,0.010143,0.010437,-0.065639,-0.062744,0.439183,0.438982,0.497685,0.500330,-0.041637,-0.041316,-0.024968,-0.025067
2.20,rad,0.010225,0.010143,-0.065805,-0.065639,0.439316,0.439183,0.494325,0.497685,-0.041911,-0.041637,-0.025019,-0.024968
2.22,rad,0.010328,0.010225,-0.067210,-0.065805,0.439461,0.439316,0.490829,0.494325,-0.042115,-0.041911,-0.025009,-0.025019
2.24,rad,0.010114,0.010328,-0.068670,-0.067210,0.439880,0.439461,0.487999,0.490829,-0.042322,-0.042115,-0.025067,-0.025009
2.26,rad,0.009553,0.010114,-0.070092,-0.068670,0.440778,0.439880,0.485463,0.487999,-0.042535,-0.042322,-0.025126,-0.025067
2.28,rad,0.008801,0.009553,-0.071556,-0.070092,0.441929,0.440778,0.483385,0.485463,-0.042734,-0.042535,-0.025261,-0.025126
2.30,rad,0.008261,0.008801,-0.072873,-0.071556,0.443438,0.441929,0.482190,0.483385,-0.042955,-0.042734,-0.025520,-0.025261
2.32,rad,0.007908,0.008261,-0.072245,-0.072873,0.445117,0.443438,0.480873,0.482190,-0.043214,-0.042955,-0.025610,-0.025520
2.34,rad,0.007388,0.007908,-0.075141,-0.072245,0.446796,0.445117,0.480551,0.480873,-0.043517,-0.043214,-0.025866,-0.025610
2.36,rad,0.006720,0.007388,-0.075514,-0.075141,0.448423,0.446796,0.480601,0.480551,-0.043853,-0.043517,-0.026039,-0.025866
2.38,rad,0.006079,0.006720,-0.077617,-0.075514,0.450141,0.448423,0.480523,0.480601,-0.044237,-0.043853,-0.026229,-0.026039
2.40,rad,0.005375,0.006079,-0.079943,-0.077617,0.452292,0.450141,0.482137,0.480523,-0.044630,-0.044237,-0.026483,-0.026229
2.42,rad,0.004745,0.005375,-0.081671,-0.079943,0.454648,0.452292,0.483214,0.482137,-0.045035,-0.044630,-0.026844,-0.026483
2.44,rad,0.003974,0.004745,-0.083979,-0.081671,0.456983,0.454648,0.484516,0.483214,-0.045461,-0.045035,-0.027134,-0.026844
2.46,rad,0.003015,0.003974,-0.085984,-0.083979,0.458952,0.456983,0.485664,0.484516,-0.045863,-0.045461,-0.027386,-0.027134
2.48,rad,0.001924,0.003015,-0.089092,-0.085984,0.460587,0.458952,0.486245,0.485664,-0.046196,-0.045863,-0.027576,-0.027386
2.50,rad,0.000936,0.001924,-0.090605,-0.089092,0.461882,0.460587,0.487121,0.486245,-0.046457,-0.046196,-0.027835,-0.027576
2.52,rad,0.000025,0.000936,-0.091812,-0.090605,0.462876,0.461882,0.487208,0.487121,-0.046630,-0.046457,-0.028155,-0.027835
