time_s,isaac_d20_vs_d00,mujoco_d20_vs_d00,cross_d00,cross_d20,unit,aggregation
9.22,0.051483,0.061721,0.106632,0.092171,rad,per-cycle geodesic RMS over 14 actual bodies
9.24,0.043793,0.047980,0.097441,0.083511,rad,per-cycle geodesic RMS over 14 actual bodies
9.26,0.041251,0.039241,0.088952,0.074258,rad,per-cycle geodesic RMS over 14 actual bodies
9.28,0.042681,0.037331,0.081867,0.067377,rad,per-cycle geodesic RMS over 14 actual bodies
9.30,0.045466,0.039418,0.076033,0.062805,rad,per-cycle geodesic RMS over 14 actual bodies
9.32,0.049080,0.043505,0.071088,0.059139,rad,per-cycle geodesic RMS over 14 actual bodies
9.34,0.053417,0.048618,0.067046,0.055585,rad,per-cycle geodesic RMS over 14 actual bodies
9.36,0.057887,0.053808,0.064156,0.052254,rad,per-cycle geodesic RMS over 14 actual bodies
9.38,0.062219,0.058684,0.063182,0.049615,rad,per-cycle geodesic RMS over 14 actual bodies
9.40,0.066524,0.062936,0.063315,0.047921,rad,per-cycle geodesic RMS over 14 actual bodies
9.42,0.070662,0.066827,0.063386,0.047057,rad,per-cycle geodesic RMS over 14 actual bodies
9.44,0.074615,0.070842,0.064279,0.046872,rad,per-cycle geodesic RMS over 14 actual bodies
9.46,0.078265,0.074772,0.065093,0.047206,rad,per-cycle geodesic RMS over 14 actual bodies
9.48,0.081393,0.079014,0.067121,0.047711,rad,per-cycle geodesic RMS over 14 actual bodies
9.50,0.083850,0.083463,0.070461,0.048271,rad,per-cycle geodesic RMS over 14 actual bodies
9.52,0.085831,0.088415,0.076132,0.048911,rad,per-cycle geodesic RMS over 14 actual bodies
9.54,0.087582,0.092468,0.083341,0.049897,rad,per-cycle geodesic RMS over 14 actual bodies
9.56,0.088039,0.082973,0.078846,0.051370,rad,per-cycle geodesic RMS over 14 actual bodies
9.58,0.087662,0.078142,0.069162,0.052381,rad,per-cycle geodesic RMS over 14 actual bodies
9.60,0.081625,0.078961,0.058995,0.052963,rad,per-cycle geodesic RMS over 14 actual bodies
9.62,0.075265,0.082146,0.049637,0.054497,rad,per-cycle geodesic RMS over 14 actual bodies
9.64,0.074550,0.086610,0.045948,0.058101,rad,per-cycle geodesic RMS over 14 actual bodies
9.66,0.076142,0.087693,0.046615,0.059999,rad,per-cycle geodesic RMS over 14 actual bodies
9.68,0.078683,0.085431,0.049920,0.061821,rad,per-cycle geodesic RMS over 14 actual bodies
9.70,0.081825,0.083780,0.054856,0.063986,rad,per-cycle geodesic RMS over 14 actual bodies
9.72,0.085095,0.083113,0.060570,0.065285,rad,per-cycle geodesic RMS over 14 actual bodies
9.74,0.085778,0.083135,0.064580,0.065998,rad,per-cycle geodesic RMS over 14 actual bodies
9.76,0.081521,0.082729,0.065410,0.066224,rad,per-cycle geodesic RMS over 14 actual bodies
9.78,0.075194,0.080771,0.066279,0.064137,rad,per-cycle geodesic RMS over 14 actual bodies
9.80,0.071884,0.077780,0.066254,0.063085,rad,per-cycle geodesic RMS over 14 actual bodies
9.82,0.068936,0.073226,0.065110,0.062712,rad,per-cycle geodesic RMS over 14 actual bodies
9.84,0.065292,0.066413,0.064171,0.062370,rad,per-cycle geodesic RMS over 14 actual bodies
9.86,0.061699,0.059089,0.063381,0.063113,rad,per-cycle geodesic RMS over 14 actual bodies
9.88,0.057125,0.052749,0.062468,0.064439,rad,per-cycle geodesic RMS over 14 actual bodies
9.90,0.053544,0.048587,0.060702,0.065509,rad,per-cycle geodesic RMS over 14 actual bodies
9.92,0.052222,0.047717,0.058694,0.065701,rad,per-cycle geodesic RMS over 14 actual bodies
9.94,0.053253,0.050541,0.057576,0.065940,rad,per-cycle geodesic RMS over 14 actual bodies
9.96,0.054749,0.055163,0.055412,0.065655,rad,per-cycle geodesic RMS over 14 actual bodies
9.98,0.057998,0.060141,0.052191,0.062500,rad,per-cycle geodesic RMS over 14 actual bodies
